3.722000122070312500e-01,1.000000000000000000e+00
1.264600008726119995e-01,0.000000000000000000e+00
3.443700075149536133e-01,0.000000000000000000e+00
1.120700016617774963e-01,0.000000000000000000e+00
7.166799902915954590e-01,2.900000000000000000e+01
4.208799824118614197e-02,0.000000000000000000e+00
8.223199844360351562e-01,4.900000000000000000e+01
8.133599758148193359e-01,4.800000000000000000e+01
5.298900008201599121e-01,4.000000000000000000e+00
3.926300108432769775e-01,1.000000000000000000e+00
5.675399899482727051e-01,7.000000000000000000e+00
3.941600024700164795e-01,1.000000000000000000e+00
9.214400053024291992e-01,7.200000000000000000e+01
7.624300122261047363e-01,3.800000000000000000e+01
7.630599737167358398e-01,3.800000000000000000e+01
4.275000095367431641e-01,1.000000000000000000e+00
4.359599947929382324e-02,0.000000000000000000e+00
1.119299978017807007e-01,0.000000000000000000e+00
8.197199702262878418e-01,4.900000000000000000e+01
7.419800162315368652e-01,3.500000000000000000e+01
